"","mu","p","theta","KLD","Population_Variance"
"1",0.01,0.51,0.5,-0.195690357546226,1.56305057642572
"50",0.01,0.515,0.333333333333333,-0.0189536081158894,0.844552977784774
"51",0.015,0.515,0.5,-0.202328208269552,1.57312925424855
"52",0.02,0.515,0.666666666666666,-2.49506218448244,3.76367079773732
"99",0.01,0.52,0.25,-0.0676993912863068,0.677659980573051
"100",0.015,0.52,0.375,-0.0118241339210557,0.96089108970341
"101",0.02,0.52,0.5,-0.197337960269395,1.56683247237588
"102",0.025,0.52,0.624999999999999,-1.39491585890555,2.92598587066601
"103",0.03,0.52,0.749999999999999,-8.59810655000851,7.05510243914245
"148",0.01,0.525,0.2,-0.106948100659275,0.606047630058456
"149",0.015,0.525,0.3,-0.0362012367051776,0.762338313299522
"150",0.02,0.525,0.4,-0.0164719858751306,1.04121470386542
"151",0.025,0.525,0.5,-0.189331234021653,1.55227929986062
"152",0.03,0.525,0.599999999999999,-0.972996202524435,2.53837240603648
"153",0.035,0.525,0.699999999999999,-4.11599617340296,4.79881835692088
"197",0.01,0.53,0.166666666666667,-0.133606095298257,0.568054364440955
"198",0.015,0.53,0.25,-0.0686804370692727,0.675005329941828
"199",0.02,0.53,0.333333333333333,-0.0189465047971717,0.840766003831102
"200",0.025,0.53,0.416666666666666,-0.0261206299465587,1.11182228520179
"201",0.03,0.53,0.5,-0.196106899114761,1.56715134665178
"202",0.035,0.53,0.583333333333333,-0.746976373360607,2.30530616228847
"203",0.04,0.53,0.666666666666666,-2.51899230907863,3.78575446204987
"204",0.045,0.53,0.749999999999999,-8.65518875738761,7.08788317201476
"246",0.01,0.535,0.142857142857143,-0.145094270621173,0.553039664349879
"247",0.015,0.535,0.214285714285714,-0.0939544448579129,0.626844255728119
"248",0.02,0.535,0.285714285714285,-0.0442160427592748,0.735267174090418
"249",0.025,0.535,0.357142857142857,-0.0113874345198985,0.910613331867778
"250",0.03,0.535,0.428571428571428,-0.0363609012678434,1.16591519470824
"251",0.035,0.535,0.5,-0.196987622734047,1.57233278881284
"252",0.04,0.535,0.571428571428571,-0.632744358372885,2.18155310561209
"253",0.045,0.535,0.642857142857142,-1.81122307091151,3.26691079212822
"254",0.05,0.535,0.714285714285714,-4.90077836096099,5.22874830276663
"295",0.01,0.54,0.125,-0.153024400585117,0.543333276659835
"296",0.015,0.54,0.1875,-0.114207141278933,0.594380504216501
"297",0.02,0.54,0.25,-0.0669424679984955,0.677307663727316
"298",0.025,0.54,0.3125,-0.0269467051959564,0.794695464707382
