"","Var1","Var2","theta","KLD"
"1",0.01,0.51,0.5,0.0310932874133822
"2",0.02,0.51,0.999999999999999,0.273146595931813
"3",0.03,0.51,1.5,0.643809972921145
"4",0.04,0.51,2,1.22390633743749
"5",0.05,0.51,2.5,1.85723967762901
"6",0.06,0.51,3,2.39179764389214
"7",0.07,0.51,3.5,2.99571456319888
"8",0.08,0.51,4,3.43910912279979
"9",0.09,0.51,4.5,3.88394289547714
"10",0.1,0.51,5,4.29048046767607
"11",0.11,0.51,5.5,4.649595008489
"12",0.12,0.51,5.99999999999999,4.9772744591515
"13",0.13,0.51,6.49999999999999,5.29645862194665
"14",0.14,0.51,6.99999999999999,5.55495235784413
"15",0.15,0.51,7.49999999999999,5.84236923239893
"16",0.16,0.51,7.99999999999999,6.08170796455358
"17",0.17,0.51,8.49999999999999,6.32849883755345
"18",0.18,0.51,8.99999999999999,6.53326867605214
"19",0.19,0.51,9.49999999999999,6.77641767565407
"20",0.2,0.51,9.99999999999999,6.96117131466066
"21",0.21,0.51,10.5,7.1689111511669
"22",0.22,0.51,11,7.35574949938797
"23",0.23,0.51,11.5,7.5060794765658
"24",0.24,0.51,12,7.69839905697278
"25",0.25,0.51,12.5,7.84026974161997
"26",0.01,0.52,0.25,0.00420079470876979
"27",0.02,0.52,0.5,0.0274375820641034
"28",0.03,0.52,0.749999999999999,0.064584231031757
"29",0.04,0.52,0.999999999999999,0.227888132956278
"30",0.05,0.52,1.25,0.469750735911253
"31",0.06,0.52,1.5,0.611697412960437
"32",0.07,0.52,1.75,0.842542268838263
"33",0.08,0.52,2,1.2717888106477
"34",0.09,0.52,2.25,1.49400729977095
"35",0.1,0.52,2.5,1.8698714882238
"36",0.11,0.52,2.75,2.14086988878049
"37",0.12,0.52,3,2.41723232473659
"38",0.13,0.52,3.25,2.70118639697346
"39",0.14,0.52,3.5,2.98829422955718
"40",0.15,0.52,3.75,3.14754354770173
"41",0.16,0.52,4,3.44575692374055
"42",0.17,0.52,4.25,3.64958611191779
"43",0.18,0.52,4.5,3.88144872661057
"44",0.19,0.52,4.75,4.10109339497373
"45",0.2,0.52,5,4.26459899853129
"46",0.21,0.52,5.25,4.4254788574745
